Firstname,Surname,Name,Gender,Nation,Team,EventName,ClassName,GroupdName,RaceName,PassingTime,AccumulatedTime,TimeFormatted,NetTime,Time,TimeSmoothed,TimeSmoothedFormatted,Place (total),DiffTimeTotal,DiffTimeTotalFormatted,DiffRoundsTotal,Place (class),DiffTimeClass,DiffTimeClassFormatted,DiffRoundsClass,Place (gender),DiffTimeGender,DiffTimeGenderFormatted,DiffRoundsGender,Starttime,StarttimeFormatted
Andreas,Svensson,Andreas Svensson,M,SE,Ulricehamns IF,MoraLoppet 2023,Herr 19-39 (Elit),Elitled,Moraloppet Tävling,2023-01-21T12:37:42.4700000,5862470,1:37:42.4,5862470,1:37:42.4,5862470,2023-01-21T12:37:42.4700000,1,0,0:00.0,0,1,0,0:00.0,0,1,0,0:00.0,0,2023-01-21T11:00:00.000000,11:00:00
Gustaf,Berglund,Gustaf Berglund,M,SE,IFK Mora SK,MoraLoppet 2023,Herr 19-39 (Elit),Elitled,Moraloppet Tävling,2023-01-21T12:37:51.8500000,5871850,1:37:51.8,5871850,1:37:51.8,5871850,2023-01-21T12:37:51.8500000,2,9400,0:09.4,0,2,9400,0:09.4,0,2,9400,0:09.4,0,2023-01-21T11:00:00.000000,11:00:00
Alfred,NILSSON,Alfred NILSSON,M,SE,Filipstads SF,MoraLoppet 2023,Herr 19-39 (Elit),Elitled,Moraloppet Tävling,2023-01-21T12:38:02.7900000,5882790,1:38:02.7,5882790,1:38:02.7,5882790,2023-01-21T12:38:02.7900000,3,20300,0:20.3,0,3,20300,0:20.3,0,3,20300,0:20.3,0,2023-01-21T11:00:00.000000,11:00:00
Adrian,Lundberg,Adrian Lundberg,M,SE,Lager 157 Ski Team,MoraLoppet 2023,Herr 19-39 (Elit),Elitled,Moraloppet Tävling,2023-01-21T12:38:04.0000000,5884000,1:38:04.0,5884000,1:38:04.0,5884000,2023-01-21T12:38:04.0000000,4,21600,0:21.6,0,4,21600,0:21.6,0,4,21600,0:21.6,0,2023-01-21T11:00:00.000000,11:00:00
Gabriel,Thorn,Gabriel Thorn,M,SE,Träningskonsulten Sports Club,MoraLoppet 2023,Herr 19-39 (Elit),Elitled,Moraloppet Tävling,2023-01-21T12:38:06.0800000,5886080,1:38:06.0,5886080,1:38:06.0,5886080,2023-01-21T12:38:06.0800000,5,23600,0:23.6,0,5,23600,0:23.6,0,5,23600,0:23.6,0,2023-01-21T11:00:00.000000,11:00:00
Oskar,Algotsson,Oskar Algotsson,M,SE,Åsarna IK,MoraLoppet 2023,Herr 19-39 (Elit),Elitled,Moraloppet Tävling,2023-01-21T12:38:09.6400000,5889640,1:38:09.6,5889640,1:38:09.6,5889640,2023-01-21T12:38:09.6400000,6,27200,0:27.2,0,6,27200,0:27.2,0,6,27200,0:27.2,0,2023-01-21T11:00:00.000000,11:00:00
Gustav,ERIKSSON,Gustav ERIKSSON,M,SE,IFK Mora SK,MoraLoppet 2023,Herr 19-39 (Elit),Elitled,Moraloppet Tävling,2023-01-21T12:38:10.9200000,5890920,1:38:10.9,5890920,1:38:10.9,5890920,2023-01-21T12:38:10.9200000,7,28500,0:28.5,0,7,28500,0:28.5,0,7,28500,0:28.5,0,2023-01-21T11:00:00.000000,11:00:00
Michael,Eklöf,Michael Eklöf,M,SE,Team Stordunk / Hällbybrunns IF,MoraLoppet 2023,Herr 19-39 (Elit),Elitled,Moraloppet Tävling,2023-01-21T12:38:40.8300000,5920830,1:38:40.8,5920830,1:38:40.8,5920830,2023-01-21T12:38:40.8300000,8,58400,0:58.4,0,8,58400,0:58.4,0,8,58400,0:58.4,0,2023-01-21T11:00:00.000000,11:00:00
Ossian,Rosenberg,Ossian Rosenberg,M,SE,Lager 157 Ski Team,MoraLoppet 2023,Herr 19-39 (Elit),Elitled,Moraloppet Tävling,2023-01-21T12:38:41.5000000,5921500,1:38:41.5,5921500,1:38:41.5,5921500,2023-01-21T12:38:41.5000000,9,59100,0:59.1,0,9,59100,0:59.1,0,9,59100,0:59.1,0,2023-01-21T11:00:00.000000,11:00:00
Jonathan,Hedbys,Jonathan Hedbys,M,SE,Storvreta IK,MoraLoppet 2023,Herr 19-39 (Elit),Elitled,Moraloppet Tävling,2023-01-21T12:39:50.9300000,5990930,1:39:50.9,5990930,1:39:50.9,5990930,2023-01-21T12:39:50.9300000,10,128500,2:08.5,0,10,128500,2:08.5,0,10,128500,2:08.5,0,2023-01-21T11:00:00.000000,11:00:00
